Train_No,Journey_Duration
107,0 days 01:45:00
108,0 days 01:55:00
128,0 days 22:05:00
290,0 days 08:00:00
401,0 days 12:30:00
421,0 days 09:00:00
422,0 days 02:45:00
477,0 days 03:10:00
502,0 days 23:00:00
504,0 days 01:00:00
506,0 days 01:30:00
557,0 days 11:30:00
604,0 days 03:30:00
1011,0 days 14:00:00
1037,0 days 09:20:00
1038,0 days 10:15:00
1045,0 days 09:50:00
1119,0 days 00:40:00
1120,0 days 00:30:00
1122,0 days 12:00:00
1196,0 days 01:40:00
1301,0 days 17:40:00
1302,0 days 21:25:00
1442,0 days 15:00:00
1655,0 days 19:30:00
1656,0 days 18:35:00
1705,0 days 21:25:00
1706,0 days 20:55:00
1707,0 days 02:30:00
1708,0 days 02:35:00
2025,0 days 08:20:00
2026,0 days 08:30:00
2191,0 days 19:50:00
2192,0 days 19:10:00
2195,0 days 09:40:00
2196,0 days 10:00:00
2515,0 days 04:55:00
2651,0 days 01:25:00
2652,0 days 01:25:00
2731,0 days 14:00:00
2732,0 days 11:25:00
2821,0 days 07:45:00
2822,0 days 08:15:00
2833,0 days 18:15:00
2834,0 days 16:40:00
2841,0 days 02:40:00
2842,0 days 05:10:00
2845,0 days 07:35:00
2846,0 days 05:45:00
3101,0 days 11:55:00
3102,0 days 11:40:00
3301,0 days 01:25:00
3302,0 days 01:25:00
3305,0 days 00:20:00
3306,0 days 00:20:00
3307,0 days 00:35:00
3308,0 days 00:30:00
3501,0 days 19:40:00
3502,0 days 21:40:00
4401,0 days 14:40:00
4402,0 days 14:15:00
4409,0 days 14:20:00
4410,0 days 13:45:00
4419,0 days 06:15:00
4420,0 days 04:05:00
4735,0 days 14:40:00
4736,0 days 13:35:00
4767,0 days 01:40:00
4768,0 days 01:50:00
4769,0 days 01:45:00
4770,0 days 01:35:00
4771,0 days 06:10:00
4772,0 days 06:15:00
4773,0 days 03:05:00
4774,0 days 02:35:00
4801,0 days 01:00:00
4802,0 days 01:00:00
4831,0 days 21:15:00
4832,0 days 19:00:00
4851,0 days 04:40:00
4852,0 days 05:05:00
4853,0 days 01:15:00
4854,0 days 01:00:00
4921,0 days 01:45:00
4922,0 days 01:55:00
4991,0 days 02:30:00
4992,0 days 02:20:00
5061,0 days 03:05:00
5062,0 days 02:45:00
5065,0 days 12:45:00
5066,0 days 12:00:00
5105,0 days 01:50:00
5106,0 days 01:30:00
5305,0 days 03:30:00
5306,0 days 02:55:00
5309,0 days 01:50:00
5310,0 days 01:55:00
5521,0 days 03:45:00
5522,0 days 02:50:00
5613,0 days 02:05:00
5614,0 days 02:15:00
5619,0 days 04:10:00
5620,0 days 04:05:00
5631,0 days 12:25:00
5632,0 days 12:25:00
5715,0 days 02:10:00
5716,0 days 02:30:00
5719,0 days 04:00:00
5720,0 days 05:00:00
5863,0 days 03:05:00
5864,0 days 02:45:00
5865,0 days 12:05:00
5866,0 days 11:45:00
6001,0 days 12:40:00
6002,0 days 12:30:00
6006,0 days 15:05:00
6009,0 days 06:05:00
6010,0 days 09:15:00
6041,0 days 16:40:00
6042,0 days 16:15:00
6043,0 days 16:00:00
6044,0 days 16:05:00
6046,0 days 18:00:00
6047,0 days 16:10:00
6048,0 days 17:00:00
6049,0 days 15:05:00
6050,0 days 16:30:00
6053,0 days 10:35:00
6054,0 days 13:20:00
6057,0 days 05:40:00
6058,0 days 03:45:00
6065,0 days 13:25:00
6066,0 days 10:35:00
6067,0 days 09:55:00
6068,0 days 11:55:00
6081,0 days 01:10:00
6082,0 days 01:10:00
6412,0 days 05:10:00
6512,0 days 02:20:00
6513,0 days 00:35:00
6541,0 days 17:35:00
6542,0 days 16:45:00
6547,0 days 11:45:00
6548,0 days 13:45:00
6579,0 days 20:00:00
6580,0 days 19:20:00
6581,0 days 13:16:00
6582,0 days 13:16:00
6591,0 days 01:30:00
6592,0 days 01:35:00
6593,0 days 00:25:00
6594,0 days 00:25:00
6595,0 days 00:50:00
6596,0 days 01:10:00
6647,0 days 02:10:00
6648,0 days 02:30:00
6769,0 days 02:40:00
6770,0 days 03:05:00
6851,0 days 00:20:00
6852,0 days 00:25:00
6853,0 days 00:23:00
6854,0 days 00:25:00
6919,0 days 06:56:00
6920,0 days 06:51:00
7005,0 days 20:00:00
7006,0 days 21:45:00
7007,0 days 15:45:00
7008,0 days 17:10:00
7016,0 days 13:05:00
7044,0 days 15:05:00
7061,0 days 04:30:00
7062,0 days 12:30:00
7075,0 days 10:10:00
7076,0 days 11:50:00
7109,0 days 07:15:00
7110,0 days 08:15:00
7113,0 days 07:10:00
7133,0 days 07:40:00
7134,0 days 08:15:00
7141,0 days 06:55:00
7142,0 days 06:15:00
7146,0 days 13:30:00
7149,0 days 01:15:00
7211,0 days 06:40:00
7212,0 days 04:00:00
7213,0 days 02:30:00
7214,0 days 00:05:00
7217,0 days 06:40:00
7218,0 days 04:15:00
7410,0 days 00:15:00
7417,0 days 04:25:00
7418,0 days 06:00:00
7425,0 days 11:15:00
7426,0 days 11:20:00
7429,0 days 12:30:00
7430,0 days 13:45:00
7431,0 days 11:00:00
7432,0 days 11:00:00
7435,0 days 12:00:00
7436,0 days 12:05:00
7438,0 days 06:45:00
7439,0 days 06:10:00
7487,0 days 12:15:00
7505,0 days 16:45:00
7509,0 days 14:20:00
7517,0 days 09:15:00
7525,0 days 09:15:00
7526,0 days 10:00:00
7603,0 days 12:00:00
7604,0 days 15:30:00
7607,0 days 19:15:00
7608,0 days 19:45:00
7613,0 days 11:00:00
7614,0 days 11:00:00
7644,0 days 11:35:00
7645,0 days 09:15:00
7757,0 days 05:15:00
7758,0 days 05:20:00
7941,0 days 11:00:00
7942,0 days 10:30:00
8001,0 days 00:35:00
8002,0 days 00:45:00
8014,0 days 00:40:00
8017,0 days 00:50:00
8018,0 days 00:55:00
8035,0 days 02:55:00
8036,0 days 03:00:00
8051,0 days 00:29:00
8052,0 days 00:45:00
8061,0 days 10:15:00
8062,0 days 10:35:00
8063,0 days 03:00:00
8064,0 days 08:10:00
8065,0 days 02:40:00
8082,0 days 00:30:00
8087,0 days 00:28:00
8101,0 days 01:20:00
8102,0 days 00:55:00
8301,0 days 07:10:00
8302,0 days 06:05:00
8403,0 days 09:20:00
8404,0 days 08:50:00
8501,0 days 13:00:00
8502,0 days 12:20:00
8511,0 days 12:00:00
8512,0 days 11:45:00
8567,0 days 04:45:00
8568,0 days 06:45:00
8573,0 days 14:30:00
8574,0 days 15:20:00
8581,0 days 00:20:00
8582,0 days 00:15:00
8617,0 days 23:50:00
8618,0 days 23:40:00
8627,0 days 09:20:00
8628,0 days 09:30:00
8872,0 days 02:45:00
9003,0 days 13:55:00
9004,0 days 13:55:00
9005,0 days 15:55:00
9006,0 days 16:05:00
9011,0 days 22:10:00
9012,0 days 21:55:00
9433,0 days 13:25:00
9434,0 days 13:40:00
9621,0 days 22:15:00
9622,0 days 21:10:00
9721,0 days 07:15:00
9722,0 days 07:00:00
9761,0 days 02:45:00
9809,0 days 07:10:00
9810,0 days 08:00:00
10103,0 days 11:35:00
10104,0 days 12:25:00
10111,0 days 11:40:00
10112,0 days 11:50:00
10215,0 days 13:25:00
10216,0 days 13:25:00
11001,0 days 07:15:00
11002,0 days 07:25:00
11003,0 days 10:35:00
11004,0 days 11:55:00
11005,0 days 09:45:00
11006,0 days 08:50:00
11007,0 days 04:05:00
11008,0 days 04:02:00
11009,0 days 04:10:00
11010,0 days 03:50:00
11011,0 days 16:40:00
11012,0 days 17:15:00
11013,0 days 08:40:00
11014,0 days 05:35:00
11015,0 days 08:20:00
11016,0 days 09:20:00
11017,0 days 06:30:00
11018,0 days 09:45:00
11019,0 days 13:05:00
11020,0 days 12:30:00
11021,0 days 14:15:00
11022,0 days 14:40:00
11023,0 days 12:15:00
11024,0 days 13:00:00
11025,0 days 11:40:00
11026,0 days 10:05:00
11027,0 days 03:45:00
11028,0 days 03:50:00
11029,0 days 11:45:00
11030,0 days 12:10:00
11031,0 days 02:10:00
11032,0 days 02:50:00
11033,0 days 14:30:00
11034,0 days 15:20:00
11035,0 days 00:10:00
11036,0 days 23:25:00
11037,0 days 08:50:00
11038,0 days 12:35:00
11039,0 days 04:45:00
11040,0 days 04:25:00
11041,0 days 02:30:00
11042,0 days 01:15:00
11043,0 days 09:55:00
11044,0 days 11:45:00
11045,0 days 12:15:00
11046,0 days 13:45:00
11047,0 days 06:15:00
11048,0 days 05:45:00
11049,0 days 20:00:00
11050,0 days 18:55:00
11051,0 days 06:45:00
11052,0 days 07:35:00
11053,0 days 09:30:00
11054,0 days 06:55:00
11055,0 days 09:25:00
11056,0 days 09:55:00
11057,0 days 17:00:00
11058,0 days 19:35:00
11059,0 days 10:10:00
11060,0 days 11:00:00
11061,0 days 12:55:00
11062,0 days 14:35:00
11063,0 days 06:20:00
11064,0 days 06:25:00
11067,0 days 03:32:00
11068,0 days 05:55:00
11071,0 days 06:45:00
11072,0 days 07:00:00
11073,0 days 23:35:00
11074,0 days 00:45:00
11075,0 days 13:25:00
11076,0 days 15:35:00
11077,0 days 16:45:00
11078,0 days 17:25:00
11079,0 days 09:40:00
11080,0 days 10:30:00
11081,0 days 10:15:00
11082,0 days 09:55:00
11083,0 days 03:30:00
11084,0 days 05:30:00
11085,0 days 11:57:00
11086,0 days 11:10:00
11087,0 days 20:15:00
11088,0 days 20:55:00
11089,0 days 23:10:00
11090,0 days 21:20:00
11091,0 days 19:45:00
11092,0 days 19:30:00
11093,0 days 04:30:00
11094,0 days 02:55:00
11095,0 days 12:25:00
11096,0 days 11:55:00
11097,0 days 08:40:00
11098,0 days 05:35:00
11101,0 days 02:45:00
11102,0 days 05:05:00
11103,0 days 23:55:00
11104,0 days 01:30:00
11107,0 days 14:10:00
11108,0 days 15:20:00
11109,0 days 05:55:00
11110,0 days 05:55:00
11111,0 days 19:55:00
11112,0 days 18:15:00
11123,0 days 02:10:00
11124,0 days 01:10:00
11125,0 days 11:42:00
11126,0 days 12:25:00
11201,0 days 21:35:00
11202,0 days 21:30:00
11203,0 days 02:10:00
11204,0 days 02:45:00
11205,0 days 16:35:00
11206,0 days 14:30:00
11265,0 days 09:00:00
11266,0 days 08:40:00
11272,0 days 17:55:00
11301,0 days 00:40:00
11302,0 days 23:30:00
11303,0 days 23:30:00
11304,0 days 23:10:00
11307,0 days 04:35:00
11308,0 days 05:00:00
11309,0 days 06:05:00
11310,0 days 05:30:00
11401,0 days 23:40:00
11402,0 days 23:35:00
11403,0 days 23:00:00
11404,0 days 23:45:00
11405,0 days 17:00:00
11406,0 days 18:45:00
11407,0 days 04:30:00
11408,0 days 04:35:00
11423,0 days 08:05:00
11424,0 days 08:15:00
11447,0 days 04:25:00
11448,0 days 01:15:00
11449,0 days 08:50:00
11450,0 days 09:30:00
11463,0 days 05:40:00
11464,0 days 05:45:00
11465,0 days 08:30:00
11466,0 days 07:45:00
11651,0 days 06:55:00
11652,0 days 07:00:00
11701,0 days 14:50:00
11702,0 days 15:25:00
11703,0 days 16:55:00
11704,0 days 16:05:00
11801,0 days 05:05:00
11802,0 days 04:55:00
11901,0 days 07:10:00
11902,0 days 06:40:00
12001,0 days 08:30:00
12002,0 days 08:25:00
12003,0 days 06:40:00
12004,0 days 06:30:00
12005,0 days 04:05:00
12006,0 days 04:05:00
12007,0 days 07:00:00
12008,0 days 07:10:00
12009,0 days 06:20:00
12010,0 days 06:40:00
12011,0 days 04:05:00
12012,0 days 04:10:00
12013,0 days 06:00:00
12014,0 days 06:00:00
12015,0 days 06:40:00
12016,0 days 06:55:00
12017,0 days 05:55:00
12018,0 days 05:45:00
12019,0 days 07:10:00
12020,0 days 07:45:00
12021,0 days 06:45:00
12022,0 days 07:05:00
12023,0 days 08:40:00
12024,0 days 07:50:00
12025,0 days 08:30:00
12026,0 days 08:25:00
12027,0 days 05:00:00
12028,0 days 05:00:00
12029,0 days 06:25:00
12030,0 days 06:15:00
12031,0 days 06:25:00
12032,0 days 06:15:00
12033,0 days 05:20:00
12034,0 days 04:55:00
12035,0 days 03:30:00
12036,0 days 03:40:00
12037,0 days 05:25:00
12038,0 days 05:30:00
12039,0 days 05:30:00
12040,0 days 05:40:00
12041,0 days 08:15:00
12042,0 days 08:05:00
12043,0 days 07:05:00
12044,0 days 07:10:00
12045,0 days 03:30:00
12046,0 days 03:25:00
12047,0 days 06:30:00
12048,0 days 07:20:00
12049,0 days 01:40:00
12050,0 days 01:40:00
12051,0 days 08:40:00
12052,0 days 08:35:00
12053,0 days 07:20:00
12054,0 days 07:20:00
12055,0 days 05:50:00
12056,0 days 06:10:00
12057,0 days 07:35:00
12058,0 days 07:00:00
12059,0 days 06:35:00
12060,0 days 06:45:00
