Train_No,Distance,Route_Type
107,78,Short
108,83,Short
128,978,Long
290,2694,Long
401,1618,Long
421,1276,Long
422,1277,Long
477,2616,Long
502,1206,Long
504,1313,Long
506,1161,Long
557,1301,Long
604,1429,Long
1011,841,Long
1037,513,Medium
1038,503,Medium
1045,563,Medium
1119,1329,Long
1120,1319,Long
1122,569,Medium
1196,1332,Long
1301,976,Long
1302,973,Long
1442,1581,Long
1655,1050,Long
1656,1050,Long
1705,1261,Long
1706,1262,Long
1707,1360,Long
1708,1362,Long
2025,579,Medium
2026,569,Medium
2191,1123,Long
2192,1123,Long
2195,551,Medium
2196,549,Medium
2515,3939,Long
2651,62,Short
2652,62,Short
2731,1854,Long
2732,1853,Long
2821,2066,Long
2822,2073,Long
2833,2332,Long
2834,2351,Long
2841,1656,Long
2842,1656,Long
2845,1770,Long
2846,1791,Long
3101,523,Medium
3102,522,Medium
3301,58,Short
3302,58,Short
3305,3,Short
3306,3,Short
3307,4,Short
3308,4,Short
3501,1193,Long
3502,1193,Long
4401,710,Medium
4402,710,Medium
4409,653,Medium
4410,653,Medium
4419,1916,Long
4420,1924,Long
4735,691,Medium
4736,691,Medium
4767,67,Short
4768,67,Short
4769,67,Short
4770,67,Short
4771,232,Short
4772,232,Short
4773,125,Short
4774,125,Short
4801,21,Short
4802,21,Short
4831,882,Long
4832,881,Long
4851,197,Short
4852,197,Short
4853,42,Short
4854,42,Short
4921,81,Short
4922,81,Short
4991,99,Short
4992,99,Short
5061,112,Short
5062,112,Short
5065,503,Medium
5066,505,Medium
5105,64,Short
5106,64,Short
5305,136,Short
5306,136,Short
5309,81,Short
5310,81,Short
5521,81,Short
5522,81,Short
5613,85,Short
5614,85,Short
5619,153,Short
5620,153,Short
5631,380,Medium
5632,379,Medium
5715,87,Short
5716,87,Short
5719,204,Short
5720,205,Short
5863,89,Short
5864,88,Short
5865,426,Medium
5866,425,Medium
6001,649,Medium
6002,649,Medium
6006,699,Medium
6009,1844,Long
6010,1843,Long
6041,849,Long
6042,851,Long
6043,849,Long
6044,852,Long
6046,852,Long
6047,849,Long
6048,852,Long
6049,855,Long
6050,857,Long
6053,626,Medium
6054,627,Medium
6057,1656,Long
6058,1655,Long
6065,500,Medium
6066,501,Medium
6067,522,Medium
6068,522,Medium
6081,45,Short
6082,45,Short
6412,2462,Long
6512,77,Short
6513,17,Short
6541,881,Long
6542,878,Long
6547,632,Medium
6548,634,Medium
6579,1089,Long
6580,1086,Long
6581,607,Medium
6582,604,Medium
6591,62,Short
6592,61,Short
6593,10,Short
6594,10,Short
6595,33,Short
6596,33,Short
6647,89,Short
6648,89,Short
6769,116,Short
6770,116,Short
6851,10,Short
6852,10,Short
6853,10,Short
6854,10,Short
6919,247,Short
6920,248,Short
7005,2276,Long
7006,2297,Long
7007,2023,Long
7008,2033,Long
7016,670,Medium
7044,735,Medium
7061,217,Short
7062,437,Medium
7075,554,Medium
7076,553,Medium
7109,1589,Long
7110,1593,Long
7113,1543,Long
7133,1508,Long
7134,1511,Long
7141,1560,Long
7142,1563,Long
7146,763,Medium
7149,2563,Long
7211,1433,Long
7212,1436,Long
7213,1221,Long
7214,1226,Long
7217,1360,Long
7218,1363,Long
7410,1147,Long
7417,1330,Long
7418,1331,Long
7425,537,Medium
7426,537,Medium
7429,742,Medium
7430,744,Medium
7431,597,Medium
7432,597,Medium
7435,555,Medium
7436,554,Medium
7438,1533,Long
7439,1533,Long
7487,735,Medium
7505,1973,Long
7509,1886,Long
7517,350,Medium
7525,322,Medium
7526,322,Medium
7603,624,Medium
7604,624,Medium
7607,1014,Long
7608,1016,Long
7613,1636,Long
7614,1641,Long
7644,597,Medium
7645,587,Medium
7757,314,Medium
7758,314,Medium
7941,587,Medium
7942,597,Medium
8001,39,Short
8002,39,Short
8014,12,Short
8017,39,Short
8018,39,Short
8035,120,Short
8036,120,Short
8051,39,Short
8052,39,Short
8061,1847,Long
8062,1838,Long
8063,115,Short
8064,2039,Long
8065,115,Short
8082,30,Short
8087,30,Short
8101,40,Short
8102,40,Short
8301,1567,Long
8302,1567,Long
8403,495,Medium
8404,497,Medium
8501,700,Medium
8502,698,Medium
8511,471,Medium
8512,471,Medium
8567,1571,Long
8568,1578,Long
8573,760,Medium
8574,759,Medium
8581,11,Short
8582,11,Short
8617,1365,Long
8618,1356,Long
8627,484,Medium
8628,481,Medium
8872,133,Short
9003,1355,Long
9004,1358,Long
9005,1373,Long
9006,1376,Long
9011,1209,Long
9012,1211,Long
9433,780,Medium
9434,780,Medium
9621,1281,Long
9622,1281,Long
9721,429,Medium
9722,429,Medium
9761,125,Short
9809,447,Medium
9810,450,Medium
10103,590,Medium
10104,594,Medium
10111,590,Medium
10112,594,Medium
10215,726,Medium
10216,727,Medium
11001,348,Medium
11002,348,Medium
11003,502,Medium
11004,504,Medium
11005,1636,Long
11006,1639,Long
11007,191,Short
11008,191,Short
11009,191,Short
11010,191,Short
11011,723,Medium
11012,723,Medium
11013,1515,Long
11014,1515,Long
11015,1678,Long
11016,1677,Long
11017,1631,Long
11018,1634,Long
11019,1941,Long
11020,1941,Long
11021,1843,Long
11022,1845,Long
11023,517,Medium
11024,517,Medium
11025,545,Medium
11026,545,Medium
11027,1281,Long
11028,1283,Long
11029,517,Medium
11030,517,Medium
11031,108,Short
11032,108,Short
11033,1955,Long
11034,1953,Long
11035,1210,Long
11036,1213,Long
11037,1777,Long
11038,1777,Long
11039,1352,Long
11040,1353,Long
11041,1281,Long
11042,1283,Long
11043,1696,Long
11044,1700,Long
11045,2894,Long
11046,2892,Long
11047,278,Short
11048,279,Short
11049,949,Long
11050,949,Long
11051,314,Medium
11052,314,Medium
11053,1552,Long
11054,1551,Long
11055,1732,Long
11056,1732,Long
11057,2026,Long
11058,2029,Long
11059,1772,Long
11060,1770,Long
11061,1885,Long
11062,1883,Long
11063,352,Medium
11064,352,Medium
11067,1510,Long
11068,1509,Long
11071,1645,Long
11072,1647,Long
11073,1265,Long
11074,1267,Long
11075,651,Medium
11076,651,Medium
11077,2155,Long
11078,2157,Long
11079,1745,Long
11080,1745,Long
11081,1731,Long
11082,1731,Long
11083,1153,Long
11084,1153,Long
11085,574,Medium
11086,578,Medium
11087,1053,Long
11088,1053,Long
11089,1074,Long
11090,1072,Long
11091,981,Long
11092,981,Long
11093,1516,Long
11094,1515,Long
